"hugo_symbol","log2FoldChange"
"ANKRD9",-1.05378940774419
"ANKS1A",-0.283841913000324
"ANKS3",-0.805303676433927
"ANKS4B",0.237526695339986
"ANKS6",-2.32768325215436
"ANKZF1",-0.488797246094369
"ANLN",0.951731850148719
"ANO10",-1.59490034768825
"ANO5",-0.721343584205691
"ANO6",-0.476246418977151
"ANO7",-1.30721473362239
"ANO8",-0.600766248549882
"ANO9",2.00284086962204
"ANOS1",-0.983985532960932
"ANOS2P",-0.442924449066385
"ANP32A",-0.362520451369388
"ANP32B",-0.672174772291465
"ANP32E",1.26265976790722
"ANPEP",0.182239440567007
"ANTKMT",-1.26602328189642
"ANTXR1",0.665430662305959
"ANTXR2",1.89148399012191
"ANXA1",-0.368591885798967
"ANXA11",-0.850615703094966
"ANXA2",-0.11323566887644
"ANXA2P1",-0.318307035327398
"ANXA2P2",0.0252242935081251
"ANXA2R",-1.6248738956971
"ANXA2R-AS1",-0.312842277617863
"ANXA2R-OT1",-0.648935447285747
"ANXA3",4.98469052108642
"ANXA4",-0.698596553252233
"ANXA5",-0.520074387499147
"ANXA6",2.31272500896764
"ANXA7",1.11734674602308
"ANXA8",3.08649757515015
"ANXA8L1",5.91792546570272
"ANXA9",-2.22728280112946
"AOAH",-1.02653762476353
"AOC1",2.59811677463697
"AOC2",0.995302765957132
"AOC3",1.95454470958374
"AOPEP",-1.98785810623622
"AP1AR",0.163585631407454
"AP1AR-DT",-0.729046230793722
"AP1B1",-2.14823078279694
"AP1G1",0.699879213772339
"AP1G2",-1.25540119847321
"AP1G2-AS1",-0.418900859706931
"AP1M1",0.386117925916382
"AP1S1",-1.46002729870118
"AP1S2",-0.333504368801761
"AP1S3",1.09696395236689
"AP2A1",-0.283211302912007
"AP2A2",-2.45749430930238
"AP2B1",1.01906941505395
"AP2M1",-1.46598270200749
"AP2S1",-1.36620938200231
"AP3B1",-0.249681531925607
"AP3B2",3.42438863250639
"AP3D1",-0.967295812102717
"AP3M1",0.574448273037897
"AP3M2",0.61439282425209
"AP3S1",-0.484232493779574
"AP3S2",0.115934241541738
"AP4B1",-0.902489340806249
"AP4B1-AS1",-0.575592472235919
"AP4E1",-0.494104150495316
"AP4M1",0.0390573064188829
"AP4S1",0.397947405249294
"AP5B1",0.385284177143242
"AP5M1",0.182835641017661
"AP5S1",-0.300186909307077
"AP5Z1",0.393798373882042
"APAF1",-0.300316801505656
"APBA1",-2.35820614560213
"APBA2",1.83303225976816
"APBA3",1.17219287626149
"APBB1",0.0228403950352175
"APBB1IP",-3.46428871952641
"APBB2",3.91913279453581
"APBB3",0.52739465170565
"APC",0.65296425142326
"APC2",-1.04155033380834
"APCDD1",-1.24132288348573
"APEH",-1.36860234765982
"APEX1",-1.80588347021108
"APEX2",-0.526866662589474
"APH1A",-0.900831002023123
"APH1B",-0.182417397554352
"API5",0.546720613585939
"APIP",0.180653518841789
"APLF",1.14403575323756
"APLP1",-0.430749915393138
"APLP2",-0.648149776180156
"APMAP",-0.373989011769952
"APOA1-AS",-2.87713164770554
"APOBEC2",0.119750022295859
"APOBEC3A",4.19177169710042
"APOBEC3B",1.62196166944289
"APOBEC3C",-0.00887264808812877
"APOBEC3D",1.2639587927972
"APOBEC3F",1.07675463094883
"APOBEC3G",1.96191593380962
"APOBEC3H",2.29895328392455
"APOBR",-2.16033918107011
"APOC1",-0.852345720920615
"APOC1P1",0.140152559178613
"APOC2",-1.6598431902956
"APOC4-APOC2",-2.73509892635713
"APOD",-0.611614377173213
"APOE",-1.75422929118048
"APOL1",1.21818100120836
"APOL2",0.926857670557296
"APOL3",0.838237473534954
"APOL4",-3.77062469919616
"APOL6",2.20321236504508
"APOLD1",-0.482770969613604
"APOM",-0.207226123918411
"APOO",1.86170658846801
"APOOL",0.012852324449192
"APP",0.940284056589293
"APP-DT",-0.236713061579553
"APPAT",0.560405397649182
"APPBP2",0.714002285112635
"APPBP2-DT",-0.220663423043289
"APPL1",0.732630771724962
"APPL2",-1.18617965837263
"APRG1",0.0345327161601985
"APRT",-0.91488667172003
"APTR",-0.432315633772911
"APTX",-0.186119668011288
"AQP1",1.40600761966216
"AQP11",0.549171294213375
"AQP3",-4.56289079836349
"AQP4-AS1",-0.773538671835957
"AQP6",-2.68296140920447
"AQP7",-2.6248117940166
"AQP9",4.64189526682796
"AQR",0.030284533899622
"AR",-0.374822769947583
"ARAF",-0.206646822715576
"ARAP1",-0.589031955045631
"ARAP1-AS1",-2.53337141273176
"ARAP1-AS2",0.13076318193727
"ARAP2",3.19728525995241
"ARAP3",-2.90746866094353
"ARB2A",-0.0497145961628416
"ARC",3.90251912969732
"ARCN1",0.0973196088494749
"AREG",3.16324874613315
"AREL1",0.434146970492635
"ARF1",-0.0588741439123261
"ARF3",0.42292067116348
"ARF4",0.656645227601434
"ARF5",-1.16203677753141
"ARF6",0.227351069091936
"ARFGAP1",-0.115570880491922
"ARFGAP2",-0.234882883927637
"ARFGAP3",0.46800343796859
"ARFGEF1",0.308413910194498
"ARFGEF1-DT",1.33076656305513
"ARFGEF2",0.808881144025933
"ARFGEF3",-0.149929841033177
"ARFIP1",-0.945283750020641
"ARFIP2",-0.197979565637122
"ARFRP1",1.1235868471932
"ARG2",0.350456807344431
"ARGFX",0.761720335898971
"ARGFXP2",0.202661342273049
"ARGLU1",0.488629541418226
"ARGLU1-DT",0.548298455983575
"ARHGAP1",-0.0487195568732018
"ARHGAP10",0.0955759648015099
"ARHGAP11A",0.10068440543645
"ARHGAP11A-DT",-0.444901141167309
