"hugo_symbol","log2FoldChange","padj"
"AGAP12P",-1.16447484089849,0.140831646642013
"AGAP2",-0.308612772166847,0.188665774202346
"AGAP2-AS1",0.103066788377644,0.921246419717759
"AGAP3",0.14861822414977,0.517863301450855
"AGAP4",-0.312365872527157,0.319951604272141
"AGAP5",0.156324630965885,0.659478736477243
"AGAP6",0.0657514495202069,0.799967369381206
"AGAP9",-1.04358640918808,0.000101422464849667
"AGBL2",1.43649536012236,0.017352383751178
"AGBL3",0.907163190569813,0.0140479987408247
"AGBL4",0.777755423379545,0.421708851666366
"AGBL5",-0.897154923831495,2.15302107195952e-06
"AGBL5-IT1",-0.519166134804217,0.432747899017406
"AGER",-1.06192755781868,0.000870530319947132
"AGFG1",0.900758894245895,0.000603617163501817
"AGFG2",1.75480653830236,1.26140254283367e-15
"AGGF1",0.529441022017211,0.0405600769500802
"AGGF1P2",0.719225357934584,0.346544565993737
"AGK",0.889497085814465,0.00179802224619818
"AGL",-0.0203799631925267,0.950068606621438
"AGMAT",0.0405584101464096,0.904108912426434
"AGO1",-0.16037705330718,0.555243072114869
"AGO2",1.60894586577234,5.06883717982018e-07
"AGO3",0.377081357290876,0.165710758608537
"AGO4",0.77433746085899,0.00901823220745834
"AGPAT1",-1.91769218345195,5.97059835807201e-13
"AGPAT2",-1.22289463023963,2.92143775950496e-06
"AGPAT3",0.359912359366721,0.0928498984120893
"AGPAT4",1.6131118951097,1.14144478600326e-08
"AGPAT5",-0.692932037911874,0.00839695312034452
"AGPS",0.299474239399919,0.303612710532854
"AGRN",1.61638326768937,5.96734456396034e-09
"AGT",-1.76473165135188,0.00020166603081081
"AGTPBP1",-0.181093395081487,0.535083154527288
"AGTRAP",-0.762287297173378,0.0179998246497073
"AGXT",0.774029027191912,0.14555416328807
"AHCTF1",1.20580477065848,0.000733868734535977
"AHCTF1P1",2.46125670264423,0.000211678961865174
"AHCY",-2.02436637571834,3.06838989030276e-14
"AHCYL1",-0.0627510376947569,0.834791624864886
"AHCYL2",1.77532577448336,6.57931552269978e-06
"AHDC1",-1.77063081637689,7.0992309898328e-18
"AHI1",-0.0620257726067568,0.842381465972971
"AHI1-DT",0.688800131975661,0.236703901784157
"AHNAK",0.405525875055749,0.101503941824972
"AHNAK2",-1.33202041128575,2.59707717861226e-05
"AHR",0.964816844482496,0.00278387427810695
"AHRR",-1.31708138480421,6.27058196973781e-12
"AHSA1",0.130613287487682,0.656283803858706
"AHSA2P",-0.699340666369103,0.00126101729017397
"AICDA",1.10541995657304,0.00818033221211309
"AIDA",1.4247557911502,9.18661973451521e-09
"AIF1",-3.20143934808815,5.70689774163378e-12
"AIFM1",-2.04819536083113,6.6269666410171e-13
"AIFM2",1.4792062757751,9.66027307985722e-08
"AIFM3",-2.23364077605321,3.88560078795914e-08
"AIG1",-2.57657845191002,1.03258691403628e-10
"AIM2",1.4708388224643,0.00173103711622197
"AIMP1",-0.332393091371666,0.0647332603480465
"AIMP2",0.00532068618630168,0.983827179903489
"AIP",-0.314722147994057,0.220153575403734
"AIPL1",0.405884541536148,0.691740063612906
"AIRE",-2.93038848861968,1.24955305067099e-09
"AIRIM",-0.334648226587875,0.18666436861026
"AJM1",-0.631785692569873,0.00135250379572727
"AJUBA",-2.43584295472145,4.19122732610867e-07
"AJUBA-DT",0.0244847309342681,0.97322034404794
"AK1",-1.59754208814225,0.000330756027511368
"AK2",-0.865971784691411,0.000686252788391899
"AK3",0.957538926151899,1.57773999779992e-05
"AK4",2.75396128951093,2.70921707844303e-21
"AK6",-0.0387304617390091,0.899669291186522
"AK7",1.27922408389822,0.0141618385692024
"AK8",4.17947430310242,2.3563945186259e-11
"AK9",0.497846540951251,0.0956067159001507
"AKAP1",-1.00473110349082,3.21646688544598e-05
"AKAP1-DT",-0.152400199157291,0.719998860569833
"AKAP10",0.129549344385745,0.707361600789891
"AKAP11",-0.597449758398318,0.111084859593222
"AKAP12",1.59403141414298,0.000163814542550922
"AKAP13",0.708527310874846,0.0214571766470369
